round_id,tag_name,train_roc_auc,train_f1,train_precision,train_recall,train_cr,train_kappa,train_pos_rate,test_roc_auc,test_f1,test_precision,test_recall,test_cr,test_kappa,test_pos_rate
1,lock,0.904761905,0.5,0,0,"              precision    recall  f1-score   support

           0       0.84      1.00      0.91        42
           1       0.00      0.00      0.00         8

    accuracy                           0.84        50
   macro avg       0.42      0.50      0.46        50
weighted avg       0.71      0.84      0.77        50
",0,0.16,0.713062611,0.5,0,0,"              precision    recall  f1-score   support

           0       0.86      1.00      0.93      2112
           1       0.00      0.00      0.00       340

    accuracy                           0.86      2452
   macro avg       0.43      0.50      0.46      2452
weighted avg       0.74      0.86      0.80      2452
",0,0.138662316
1,video_doorbell,0.449864499,0.5,0,0,"              precision    recall  f1-score   support

           0       0.82      1.00      0.90        41
           1       0.00      0.00      0.00         9

    accuracy                           0.82        50
   macro avg       0.41      0.50      0.45        50
weighted avg       0.67      0.82      0.74        50
",0,0.18,0.42975347,0.5,0,0,"              precision    recall  f1-score   support

           0       0.87      1.00      0.93      2135
           1       0.00      0.00      0.00       317

    accuracy                           0.87      2452
   macro avg       0.44      0.50      0.47      2452
weighted avg       0.76      0.87      0.81      2452
",0,0.129282219
1,gate,1,0.8,1,0.6,"              precision    recall  f1-score   support

           0       0.96      1.00      0.98        45
           1       1.00      0.60      0.75         5

    accuracy                           0.96        50
   macro avg       0.98      0.80      0.86        50
weighted avg       0.96      0.96      0.96        50
",0.72972973,0.1,0.803850719,0.560138971,0.716216216,0.130541872,"              precision    recall  f1-score   support

           0       0.85      0.99      0.92      2046
           1       0.72      0.13      0.22       406

    accuracy                           0.85      2452
   macro avg       0.78      0.56      0.57      2452
weighted avg       0.83      0.85      0.80      2452
",0.178913967,0.165579119
1,lights,0.943262411,0.833333333,1,0.666666667,"              precision    recall  f1-score   support

           0       0.98      1.00      0.99        47
           1       1.00      0.67      0.80         3

    accuracy                           0.98        50
   macro avg       0.99      0.83      0.89        50
weighted avg       0.98      0.98      0.98        50
",0.789915966,0.06,0.802920646,0.623901768,0.685185185,0.255172414,"              precision    recall  f1-score   support

           0       0.95      0.99      0.97      2307
           1       0.69      0.26      0.37       145

    accuracy                           0.95      2452
   macro avg       0.82      0.62      0.67      2452
weighted avg       0.94      0.95      0.94      2452
",0.351031574,0.0591354
1,intercom,0.864583333,0.5,0,0,"              precision    recall  f1-score   support

           0       0.96      1.00      0.98        48
           1       0.00      0.00      0.00         2

    accuracy                           0.96        50
   macro avg       0.48      0.50      0.49        50
weighted avg       0.92      0.96      0.94        50
",0,0.04,0.62048353,0.5,0,0,"              precision    recall  f1-score   support

           0       0.95      1.00      0.97      2331
           1       0.00      0.00      0.00       121

    accuracy                           0.95      2452
   macro avg       0.48      0.50      0.49      2452
weighted avg       0.90      0.95      0.93      2452
",0,0.049347471
1,dog,0.885416667,0.75,1,0.5,"              precision    recall  f1-score   support

           0       0.98      1.00      0.99        48
           1       1.00      0.50      0.67         2

    accuracy                           0.98        50
   macro avg       0.99      0.75      0.83        50
weighted avg       0.98      0.98      0.98        50
",0.657534247,0.04,0.433739734,0.5,0,0,"              precision    recall  f1-score   support

           0       0.95      1.00      0.97      2325
           1       0.00      0.00      0.00       127

    accuracy                           0.95      2452
   macro avg       0.47      0.50      0.49      2452
weighted avg       0.90      0.95      0.92      2452
",0,0.051794454
1,guard_ID_resident,0.71875,0.75,1,0.5,"              precision    recall  f1-score   support

           0       0.98      1.00      0.99        48
           1       1.00      0.50      0.67         2

    accuracy                           0.98        50
   macro avg       0.99      0.75      0.83        50
weighted avg       0.98      0.98      0.98        50
",0.657534247,0.04,0.373644823,0.5,0,0,"              precision    recall  f1-score   support

           0       0.96      1.00      0.98      2346
           1       0.00      0.00      0.00       106

    accuracy                           0.96      2452
   macro avg       0.48      0.50      0.49      2452
weighted avg       0.92      0.96      0.94      2452
",0,0.043230016
1,warning_sign,0.758865248,0.5,0,0,"              precision    recall  f1-score   support

           0       0.94      1.00      0.97        47
           1       0.00      0.00      0.00         3

    accuracy                           0.94        50
   macro avg       0.47      0.50      0.48        50
weighted avg       0.88      0.94      0.91        50
",0,0.06,0.392863152,0.5,0,0,"              precision    recall  f1-score   support

           0       0.90      1.00      0.95      2216
           1       0.00      0.00      0.00       236

    accuracy                           0.90      2452
   macro avg       0.45      0.50      0.47      2452
weighted avg       0.82      0.90      0.86      2452
",0,0.096247961
2,lock,0.803137255,0.5,0,0,"              precision    recall  f1-score   support

           0       0.85      1.00      0.92        85
           1       0.00      0.00      0.00        15

    accuracy                           0.85       100
   macro avg       0.42      0.50      0.46       100
weighted avg       0.72      0.85      0.78       100
",0,0.15,0.72658739,0.5,0,0,"              precision    recall  f1-score   support

           0       0.86      1.00      0.93      2069
           1       0.00      0.00      0.00       333

    accuracy                           0.86      2402
   macro avg       0.43      0.50      0.46      2402
weighted avg       0.74      0.86      0.80      2402
",0,0.138634471
2,video_doorbell,0.9410299,0.5,0,0,"              precision    recall  f1-score   support

           0       0.86      1.00      0.92        86
           1       0.00      0.00      0.00        14

    accuracy                           0.86       100
   macro avg       0.43      0.50      0.46       100
weighted avg       0.74      0.86      0.80       100
",0,0.14,0.870962152,0.5,0,0,"              precision    recall  f1-score   support

           0       0.87      1.00      0.93      2090
           1       0.00      0.00      0.00       312

    accuracy                           0.87      2402
   macro avg       0.44      0.50      0.47      2402
weighted avg       0.76      0.87      0.81      2402
",0,0.129891757
2,gate,0.989369242,0.929128278,0.882352941,0.882352941,"              precision    recall  f1-score   support

           0       0.98      0.98      0.98        83
           1       0.88      0.88      0.88        17

    accuracy                           0.96       100
   macro avg       0.93      0.93      0.93       100
weighted avg       0.96      0.96      0.96       100
",0.858256556,0.17,0.807503489,0.785089338,0.675749319,0.629441624,"              precision    recall  f1-score   support

           0       0.93      0.94      0.93      2008
           1       0.68      0.63      0.65       394

    accuracy                           0.89      2402
   macro avg       0.80      0.79      0.79      2402
weighted avg       0.89      0.89      0.89      2402
",0.58632661,0.164029975
2,lights,0.578804348,0.5,0,0,"              precision    recall  f1-score   support

           0       0.92      1.00      0.96        92
           1       0.00      0.00      0.00         8

    accuracy                           0.92       100
   macro avg       0.46      0.50      0.48       100
weighted avg       0.85      0.92      0.88       100
",0,0.08,0.469473917,0.5,0,0,"              precision    recall  f1-score   support

           0       0.94      1.00      0.97      2262
           1       0.00      0.00      0.00       140

    accuracy                           0.94      2402
   macro avg       0.47      0.50      0.48      2402
weighted avg       0.89      0.94      0.91      2402
",0,0.058284763
2,intercom,0.850526316,0.5,0,0,"              precision    recall  f1-score   support

           0       0.95      1.00      0.97        95
           1       0.00      0.00      0.00         5

    accuracy                           0.95       100
   macro avg       0.47      0.50      0.49       100
weighted avg       0.90      0.95      0.93       100
",0,0.05,0.669994286,0.5,0,0,"              precision    recall  f1-score   support

           0       0.95      1.00      0.97      2284
           1       0.00      0.00      0.00       118

    accuracy                           0.95      2402
   macro avg       0.48      0.50      0.49      2402
weighted avg       0.90      0.95      0.93      2402
",0,0.049125729
2,dog,0.739795918,0.5,0,0,"              precision    recall  f1-score   support

           0       0.98      1.00      0.99        98
           1       0.00      0.00      0.00         2

    accuracy                           0.98       100
   macro avg       0.49      0.50      0.49       100
weighted avg       0.96      0.98      0.97       100
",0,0.02,0.502417582,0.5,0,0,"              precision    recall  f1-score   support

           0       0.95      1.00      0.97      2275
           1       0.00      0.00      0.00       127

    accuracy                           0.95      2402
   macro avg       0.47      0.50      0.49      2402
weighted avg       0.90      0.95      0.92      2402
",0,0.052872606
2,guard_ID_resident,0.734375,0.5,0,0,"              precision    recall  f1-score   support

           0       0.96      1.00      0.98        96
           1       0.00      0.00      0.00         4

    accuracy                           0.96       100
   macro avg       0.48      0.50      0.49       100
weighted avg       0.92      0.96      0.94       100
",0,0.04,0.499669445,0.5,0,0,"              precision    recall  f1-score   support

           0       0.96      1.00      0.98      2298
           1       0.00      0.00      0.00       104

    accuracy                           0.96      2402
   macro avg       0.48      0.50      0.49      2402
weighted avg       0.92      0.96      0.94      2402
",0,0.043297252
2,security_screen_door,1,1,1,1,"              precision    recall  f1-score   support

           0       1.00      1.00      1.00        96
           1       1.00      1.00      1.00         4

    accuracy                           1.00       100
   macro avg       1.00      1.00      1.00       100
weighted avg       1.00      1.00      1.00       100
",1,0.04,0.789655794,0.749359741,0.716049383,0.50877193,"              precision    recall  f1-score   support

           0       0.98      0.99      0.98      2288
           1       0.72      0.51      0.59       114

    accuracy                           0.97      2402
   macro avg       0.85      0.75      0.79      2402
weighted avg       0.96      0.97      0.96      2402
",0.578242451,0.04746045
2,warning_sign,0.643229167,0.5,0,0,"              precision    recall  f1-score   support

           0       0.96      1.00      0.98        96
           1       0.00      0.00      0.00         4

    accuracy                           0.96       100
   macro avg       0.48      0.50      0.49       100
weighted avg       0.92      0.96      0.94       100
",0,0.04,0.632822119,0.5,0,0,"              precision    recall  f1-score   support

           0       0.90      1.00      0.95      2167
           1       0.00      0.00      0.00       235

    accuracy                           0.90      2402
   macro avg       0.45      0.50      0.47      2402
weighted avg       0.81      0.90      0.86      2402
",0,0.097835137
2,none,0.790816327,0.75,1,0.5,"              precision    recall  f1-score   support

           0       0.99      1.00      0.99        98
           1       1.00      0.50      0.67         2

    accuracy                           0.99       100
   macro avg       0.99      0.75      0.83       100
weighted avg       0.99      0.99      0.99       100
",0.662162162,0.02,0.787536232,0.583333333,1,0.166666667,"              precision    recall  f1-score   support

           0       0.96      1.00      0.98      2300
           1       1.00      0.17      0.29       102

    accuracy                           0.96      2402
   macro avg       0.98      0.58      0.63      2402
weighted avg       0.97      0.96      0.95      2402
",0.276941601,0.042464613
3,lock,0.996576515,0.970386854,0.916666667,0.956521739,"              precision    recall  f1-score   support

           0       0.99      0.98      0.99       127
           1       0.92      0.96      0.94        23

    accuracy                           0.98       150
   macro avg       0.95      0.97      0.96       150
weighted avg       0.98      0.98      0.98       150
",0.92431887,0.153333333,0.818996623,0.796618724,0.497835498,0.707692308,"              precision    recall  f1-score   support

           0       0.95      0.89      0.92      2027
           1       0.50      0.71      0.58       325

    accuracy                           0.86      2352
   macro avg       0.72      0.80      0.75      2352
weighted avg       0.89      0.86      0.87      2352
",0.504035534,0.138180272
3,video_doorbell,1,0.972222222,1,0.944444444,"              precision    recall  f1-score   support

           0       0.99      1.00      1.00       132
           1       1.00      0.94      0.97        18

    accuracy                           0.99       150
   macro avg       1.00      0.97      0.98       150
weighted avg       0.99      0.99      0.99       150
",0.967658473,0.12,0.907575546,0.89843889,0.935849057,0.805194805,"              precision    recall  f1-score   support

           0       0.97      0.99      0.98      2044
           1       0.94      0.81      0.87       308

    accuracy                           0.97      2352
   macro avg       0.95      0.90      0.92      2352
weighted avg       0.97      0.97      0.97      2352
",0.847099428,0.130952381
