UID,Text,video_doorbell,gate,lock,intercom,lights,dog,police,security_camera_system,none,warning_sign,guard_ID_resident,security_screen_door
10000302,Ring Doorbell,1,,,,,,,,,,,
10000465,I trailed behind to get thru gate,,1,,,,,,,,,,
10001350,"Beautiful neighborhood, home is very well kept. Yard is beautiful!",,,,,,,,,,,,
10001811,Locked gate with a pad lock,,1,1,,,,,,,,,
10001877,No issues with access.,,,,,,,,,,,,
10001963,Must be buzzed in with the intercom,,,,1,,,,,,,,
10002085,Deadbolt lock,,,1,,,,,,,,,
10002397,Many street lights and lampposts on the property.,,,,,1,,,,,,,
10003709,This might be a 2 family. There were 2 addresses on the mail box.,,,,,,,,,,,,
10003839,This apartment complex is gated. Not able to gain access. Unable to visit selected unit,,1,,,,,,,,,,
10004003,Must be buzzed in by a resident,,,,1,,,,,,,,
10004188,Gated front porch but accessible.,,,,,,,,,,,,
10004456,RING doorbell.,1,,,,,,,,,,,
10004713,No issues; fairly accessible.,,,,,,,,,,,,
10004917,Nest video doorbell,1,,,,,,,,,,,
10005330,Ring doorbell,1,,,,,,,,,,,
10007176,Public housing,,,,,,,,,,,,
10007433,Lights in yard lighting residence,,,,,1,,,,,,,
10008265,For Sale Sign in front yard,,,,,,,,,,,,
10008577,Motion lights over the attached garage,,,,,1,,,,,,,
10008663,This is an elderly housing unit.  Separate apartments.,,,,,,,,,,,,
10008674,"Lock at front door had a touchpad, exterior lights on during day, gated community, lots of windows to see who is at front door",,1,1,,1,,,,,,,
10009183,Gate was unlocked.,,1,,,,,,,,,,
10009398,Entrance to home was through piles of trash on a track guarded by a German Shepherd dog.,,,,,,1,,,,,,
10009804,"Gated community, but gate open at this time",,1,,,,,,,,,,
10009978,Locked lobby door,,,1,,,,,,,,,
10010262,DU has dogs in a pen on the side of the house.,,,,,,1,,,,,,
10010693,Police station nearby,,,,,,,1,,,,,
10011113,"Beautiful light blue house, very well maintained",,,,,,,,,,,,
10011179,Last Building on the left in the complex,,,,,,,,,,,,
10011588,"Locked front doors can not access without someone letting me in , no names on bell that are clear or apt numbers",,,1,,,,,,,,,
10011685,No car in drive left simy,,,,,,,,,,,,
10011919,Security cameras around building,,,,,,,,1,,,,
10011920,Townhouses/ apartments called The Lodge; gated area; Listed as 53-14 on the door; very nice area; well maintained and clean,,1,,,,,,,,,,
10012019,Gated community with a telephone gatekeeper system.,,1,,1,,,,,,,,
10012901,Gated fence that can be owned by visitors,,1,,,,,,,,,,
10012956,Gated community. Unable to access without code,,1,,,,,,,,,,
10013089,Unsafe situation; not lighted at all lots of trees and wooded area; have to return during the day hours,,,,,,,,,1,,,
10013142,Apartment complex has signs on premises no soliciting,,,,,,,,,,1,,
10013807,Two houses high off ground seems to be a flood zone. No security noticed.,,,,,,,,,1,,,
10014093,This DU is an apartment building. ,,,,,,,,,,,,
10014509,Asher Apartment; building 5; second floor; gate was open,,1,,,,,,,,,,
10014521,They have dogs but very friendly,,,,,,1,,,,,,
10014736,Receptionist who was not present upon visit. Sign in log at front desk,,,,,,,,,,,1,
10015881,Camera bell on door,1,,,,,,,,,,,
10015955,Keypad entry.  No doorbell.,,,1,,,,,,,,,
10016624,Motion sensor lights on garage,,,,,1,,,,,,,
10016679,Dogs were kept inside home. They appeared to aggressive and SP had a difficult time maintaining control of dogs.,,,,,,1,,,,,,
10017199,Gate to complex requiring code or pass,,1,,,,,,,,,,
10019322,Ring doorbell,1,,,,,,,,,,,
10019731,Downtown Austin; pay for parking; or walk several blocks to get there; The building name is AMLI On 2nd; written real big in the front of the 18 floors;,,,,,,,,,,,,
10020553,Many no trespassing signs/keep out signs,,,,,,,,,,1,,
10021039,HH member is police officer in the Bronx,,,,,,,1,,,,,
10021567,Gated apartment community - unable to enter,,1,,,,,,,,,,
10022139,"Closed circuit tv sign, cameras inside hallways and outside, must be buzzed in or escorted, signs posted saying not to let anyone in they don?€?t know",,,,1,,,,1,,1,1,
10022753,Brick house under freeway. No car no lights on,,,,,,,,,,,,
10023295,The house is under renovation and vacant,,,,,,,,,,,,
10023400,This apt building has a buzzer to gain access. A locked building.,,,1,1,,,,,,,,
10024306,Entrance ways and driveways have gates. Told that they are never closed.,,1,,,,,,,,,,
10024577,Wink doorbell with video.,1,,,,,,,,,,,
10025246,Must be buzzed in by the intercom,,,,1,,,,,,,,
10026142,Gated community. Need resident name to access directory. A UPS driver pulled up and let me in the gate,,1,,,,,,,,,,
10026807,House sits on street that is a hill,,,,,,,,,,,,
10026937,?€?Ring?€? doorbell,1,,,,,,,,,,,
10027026,Need gate code to gain access; park away where; Go through sign that says Estates At Austin; dogs present with owner;,,1,,,,1,,,,,,
10027112,Security door,,,,,,,,,,,,1
10027457,Key hold viewer in door,,,1,,,,,,,,,
10027606,Camera bell on front door. Storm door locked barring entry to front porch and front door,1,,1,,,,,,,,,
10027651,This du looks like it is unoccupied. Need to verify with neighbor. Windows and doors are covered with plywood,,,,,,,,,,,,
10028698,Very rural area. Lots of farms,,,,,,,,,,,,
10028858,"Ring doorbell, security screen door",1,,,,,,,,,,,1
10029163,Groups of men hanging outside of buildings,,,,,,,,,,,,
10030253,Private drive signs,,,,,,,,,,1,,
10030673,Dogs on premises,,,,,,1,,,,,,
10030877,Meters to pay for parking,,,,,,,,,,,,
10032721,Front doors on units have metal security door with deadbolt,,,1,,,,,,,,,
10033520,Men hanging out in front of apartment drinking. Felt unsafe.,,,,,,,,,,,,
10033649,Address is that of an Assisted Living Facility.,,,,,,,,,,,,
10033843,Dog wasn?€?t a security dog - just a fluffy little guy.,,,,,,1,,,,,,
10034040,No security measures but porch is very very weak,,,,,,,,,1,,,
10034307,"Authorized parking only, others will be towed; 4 apts. at this address are behind one locked door, but door door as propped open when I was there",,,1,,,,,,,1,,
10034556,Apartment homes; Upstairs second floor; Building 19. Light Pink with tan trim,,,,,1,,,,,,,
10034705,Two separate streets; White House wither black security bars on windows; sign on door and in the grass that says Tax Office:  no vehicle was present,,,,,,,,,,1,,
10034879,Apartment building in urban city need key to enter the building.,,,1,,,,,,,,,
10035720,Back of the building to enter you need a key and front and is also secured,,,1,,,,,,,,,
10035946,Street entrance posted as Private Drive.,,,,,,,,,,,,
10036400,Need a code to get through the gate,,1,,,,,,,,,,
10036853,A possible security doorbell,1,,,,,,,,,,,
10037384,Screen security door,,,,,,,,,,,,1
10037500,55 plus building,,,,,,,,,,,,
10038183,Am apartment building with 4 to 8 suites. You must have a key to gain entry,,,1,,,,,,,,,
10038224,This is a locked building.,,,1,,,,,,,,,
10038752,You can just walk up to the home no barriers to entry,,,,,,,,,1,,,
10039067,Security screen door,,,,,,,,,,,,1
10039131,"Gated apartment complex, has keyed to gain entry",,1,1,,,,,,,,,
10039885,"Very poorly managed; park anywhere; people walking around , sitting outside",,,,,,,,,,,,
10040425,"Sign on door says don?€?t ring doorbell, don?€?t make it weird",1,,,,,,,,,1,,
10040696,No security features,,,,,,,,,1,,,
10040782,Had video camera pointed to door,,,,,,,,1,,,,
